member,costume,type
正源司陽子,「キツネ」歌唱衣装,座り
正源司陽子,「W-KEYAKI FES.2022」カラフル衣装,ヨリ
正源司陽子,「W-KEYAKI FES.2022」カラフル衣装,チュウ
正源司陽子,「W-KEYAKI FES.2022」カラフル衣装,ヒキ
正源司陽子,「W-KEYAKI FES.2022」カラフル衣装,座り
正源司陽子,2024年 ハロウィン衣装,ヨリ
正源司陽子,2024年 ハロウィン衣装,チュウ
正源司陽子,2024年 ハロウィン衣装,ヒキ
正源司陽子,2024年 ハロウィン衣装,座り
正源司陽子,「絶対的第六感」ジャケット写真衣装,ヨリ
正源司陽子,「絶対的第六感」ジャケット写真衣装,チュウ
正源司陽子,「絶対的第六感」ジャケット写真衣装,ヒキ
正源司陽子,「絶対的第六感」ジャケット写真衣装,座り
正源司陽子,2024年 夏フェス衣装,ヨリ
正源司陽子,2024年 夏フェス衣装,チュウ
正源司陽子,2024年 夏フェス衣装,ヒキ
正源司陽子,2024年 夏フェス衣装,座り
正源司陽子,日向坂46 空色ジャージ,ヨリ
正源司陽子,日向坂46 空色ジャージ,チュウ
正源司陽子,日向坂46 空色ジャージ,ヒキ
正源司陽子,日向坂46 空色ジャージ,座り
正源司陽子,「Happy Train Tour 2023」ライブ衣装,ヨリ
正源司陽子,「Happy Train Tour 2023」ライブ衣装,チュウ
正源司陽子,「Happy Train Tour 2023」ライブ衣装,ヒキ
正源司陽子,「Happy Train Tour 2023」ライブ衣装,座り
正源司陽子,「11th Single ひなた坂46 LIVE」ライブ衣装,ヨリ
正源司陽子,「11th Single ひなた坂46 LIVE」ライブ衣装,チュウ
正源司陽子,「11th Single ひなた坂46 LIVE」ライブ衣装,ヒキ
正源司陽子,「11th Single ひなた坂46 LIVE」ライブ衣装,座り
正源司陽子,ロングニットワンピース,ヨリ
正源司陽子,ロングニットワンピース,チュウ
正源司陽子,ロングニットワンピース,ヒキ
正源司陽子,ロングニットワンピース,座り
正源司陽子,「夕陽Dance」MV衣装,ヨリ
正源司陽子,「夕陽Dance」MV衣装,チュウ
正源司陽子,「夕陽Dance」MV衣装,ヒキ
正源司陽子,「夕陽Dance」MV衣装,座り
正源司陽子,「ドレミソラシド」MV衣装,ヨリ
正源司陽子,「ドレミソラシド」MV衣装,チュウ
正源司陽子,「ドレミソラシド」MV衣装,ヒキ
正源司陽子,「ドレミソラシド」MV衣装,座り
正源司陽子,「ひなくり2022」ライブ衣装,ヨリ
正源司陽子,「ひなくり2022」ライブ衣装,チュウ
正源司陽子,「ひなくり2022」ライブ衣装,ヒキ
正源司陽子,「ひなくり2022」ライブ衣装,座り
正源司陽子,「Happy Train Tour 2023」サンタ衣装,ヨリ
正源司陽子,「Happy Train Tour 2023」サンタ衣装,チュウ
正源司陽子,「Happy Train Tour 2023」サンタ衣装,ヒキ
正源司陽子,「Happy Train Tour 2023」サンタ衣装,座り
正源司陽子,12th制服(「日向坂で会いましょう」スタジオ),ヨリ
正源司陽子,12th制服(「日向坂で会いましょう」スタジオ),チュウ
正源司陽子,12th制服(「日向坂で会いましょう」スタジオ),ヒキ
